Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Albania,0,2877239,105,2020-12-30,57727.0,245176.0,3.8,1.1,0.785,2.89,,Europe,0.92,1174.0,0.175,0.020337103954821835,3.0,5340000,2020-03-10,41.153332,20.168331,2020-03-08,Full,13364.1554,7.84,97.6
Andorra,1,77287,164,2020-09-18,1564.0,85772.0,6.4,,0.858,,,Europe,0.98,53.0,0.07,0.03388746803069054,3.0,3042000,2020-03-03,42.546245,1.601554,2020-03-16,Full,,,
Argentina,2,45267449,17,2020-10-13,917035.0,2335693.0,2.0,0.6,0.825,5.0,,South America,0.89,24572.0,0.213,0.026795051442965644,3.0,6942000,2020-03-04,-38.416097,-63.616672,2020-03-20,Full,20610.56855,6.86,98.1
Armenia,3,2964219,104,2020-10-15,59995.0,,,1.8,0.755,4.2,94.043,Asia,0.71,1046.0,,0.017434786232186014,4.0,1652000,2020-03-02,40.069099,45.038189,2020-03-24,Full,10343.17559,7.42,99.8
Austria,4,9015361,109,2020-11-12,181642.0,2575405.0,4.1,0.7,0.908,7.37,,Europe,0.75,1608.0,0.068,0.008852578148225631,3.0,30816000,2020-02-26,47.516231,14.550072,2020-03-16,Full,55454.68929,8.48,
Azerbaijan,5,10154978,123,2020-12-21,203593.0,,,,0.757,4.7,83.241,Asia,0.44,2253.0,,0.011066195792586189,1.0,2633000,2020-03-02,40.143105,47.576927,2020-03-02,Full,18044.13678,6.22,99.8
Bahamas,6,393893,39,2021-01-01,7887.0,,,,0.807,2.9,,North America,0.98,171.0,,0.021681247622670218,2.0,14000,2020-03-17,25.03428,-77.39628,2020-04-17,Full,32087.72915,7.56,
Bahrain,7,1711057,2239,2020-07-15,34560.0,685318.0,14.1,,0.846,2.0,,Asia,0.9,117.0,0.014,0.0033854166666666668,1.0,12045000,2020-02-25,25.930414,50.637772,2020-02-25,Full,47303.04851,6.63,95.7
Belarus,8,9448772,47,2020-12-29,190404.0,4092580.0,8.2,,0.808,11.0,,Europe,0.99,1404.0,0.087,0.00737379466817924,4.0,11501600,2020-02-29,53.709807,27.953389,2020-04-07,Full,19994.80408,6.65,99.7
Belgium,9,11598451,383,2020-10-20,240159.0,4294571.0,3.4,0.2,0.916,5.64,,Europe,0.66,10489.0,0.05,0.043675231825582216,3.0,9119000,2020-02-05,50.503887,4.469936,2020-03-17,Full,51407.99834,8.29,
