Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Andorra,0,77287,164,2021-10-27,15462.0,222097.0,1.1,,0.868,,,Europe,0.48,130.0,0.0463,0.00840770922261027,3.0,3042000.0,2020-03-03,42.546245,1.601554,2020-03-16,Full,,,
Anguilla,1,15026,167,2022-05-16,3116.0,,,,,,,North America,,9.0,,0.002888318356867779,2.0,,,,,,,,,
Argentina,2,45267449,17,2022-04-11,9054126.0,35717514.0,3.3,0.6,0.845,5.0,,South America,0.05,128233.0,0.047,0.014162935218705814,3.0,6942000.0,2020-03-04,-38.416097,-63.616672,2020-03-20,Full,20610.56855,6.86,98.1
Aruba,3,106845,593,2022-01-02,21471.0,,,,,,,North America,,181.0,,0.008429975315541894,2.0,,,,,,,39454.62983,,
Australia,4,25550683,3,2022-04-11,5154633.0,67762200.0,4.5,0.5,0.944,3.84,,Oceania,0.81,6609.0,0.132,0.001282147536012748,1.0,9246000.0,2020-01-26,-25.274398,133.775136,2020-03-25,Partial,51663.36509,8.62,
Austria,5,9015361,109,2022-01-30,1806650.0,141788278.0,11.2,0.7,0.922,7.37,,Europe,0.6,17192.0,0.012,0.009515954944233802,3.0,30816000.0,2020-02-26,47.516231,14.550072,2020-03-16,Full,55454.68929,8.48,
Bahrain,6,1711057,2239,2022-01-26,343400.0,8638049.0,3.5,,0.852,2.0,,Asia,0.68,1400.0,0.1062,0.004076878276062901,1.0,12045000.0,2020-02-25,25.930414,50.637772,2020-02-25,Full,47303.04851,6.63,95.7
Barbados,7,287437,668,2022-03-18,57548.0,603110.0,2.7,,0.814,5.8,88.469,North America,0.8,326.0,0.1112,0.005664836310558143,2.0,680000.0,2020-03-18,13.193887,-59.543198,2020-03-28,Full,18554.12928,7.02,
Belgium,8,11598451,383,2022-01-12,2347164.0,28326581.0,2.2,0.2,0.931,5.64,,Europe,0.66,28566.0,0.139,0.01217043206184144,3.0,9119000.0,2020-02-05,50.503887,4.469936,2020-03-17,Full,51407.99834,8.29,
Bermuda,9,62237,1246,2022-03-28,12456.0,1621.0,11.5,,,,,North America,,127.0,0.0,0.010195889531149646,2.0,,,,,,,,,
British Virgin Islands,10,30266,202,2022-02-23,6074.0,96630.0,,,,,,North America,,62.0,,0.010207441554165295,,,,,,,,,,
Brunei,11,438202,83,2022-03-06,88849.0,,,,0.838,2.7,,Asia,0.59,143.0,,0.0016094722506724893,2.0,14000.0,2020-03-10,4.535277,114.727669,,,,,
Cayman Islands,12,65854,274,2022-01-22,13734.0,1897.0,2.9,,,,,North America,,15.0,0.0,0.00109217999126256,2.0,,,,,,,72607.57077,,
Chile,13,19144605,26,2022-06-13,3829119.0,39195661.0,6.5,1.3,0.851,2.11,,South America,0.98,58109.0,0.1469,0.01517555343670437,3.0,5723000.0,2020-03-04,-35.675147,-71.542969,2020-03-26,Full,25222.52778,8.15,97.3
Cook Islands,14,17567,73,2022-04-12,3584.0,,,,,,,Oceania,,1.0,,0.00027901785714285713,2.0,,,,,,,,,
Croatia,15,4100719,73,2022-01-18,826380.0,4074484.0,1.9,0.7,0.851,5.54,,Europe,0.58,13212.0,0.1055,0.015987802221738182,3.0,16645000.0,2020-02-26,45.1,15.2,2020-03-22,Partial,27579.78083,7.86,99.3
Cyprus,16,1208886,131,2022-01-24,241888.0,22030562.0,17.7,,0.887,3.4,,Europe,0.47,713.0,0.017,0.002947645191162852,3.0,3939000.0,2020-03-10,35.126413,33.429859,2020-03-25,Full,38513.28457,7.93,99.1
Denmark,17,5795780,137,2022-01-17,1159986.0,56659415.0,2.9,0.2,0.94,2.5,,Europe,0.63,3505.0,0.0527,0.0030215881915816225,3.0,12749000.0,2020-02-28,56.26392,9.501785,2020-03-11,Full,55671.16527,8.56,
Dominica,18,72017,96,2022-06-09,14638.0,,,,0.742,3.8,,North America,0.44,67.0,,0.004577128022953955,2.0,63000.0,2020-03-23,15.414999,-61.370976,2020-03-19,Partial,11129.86119,,
Estonia,19,1326693,31,2022-01-16,267095.0,2669564.0,1.6,0.5,0.892,4.69,,Europe,0.39,1979.0,0.0143,0.0074093487335966605,3.0,3234000.0,2020-02-28,58.595272,25.013607,2020-03-13,Full,35973.77646,8.46,99.8
Falkland Islands,20,3497,0,2022-05-12,1126.0,,,,,,,South America,,,,,,,,,,,,,,
Finland,21,5542237,18,2022-06-09,1114573.0,10996267.0,3.0,,0.938,3.28,,Europe,1.21,4714.0,0.273,0.00422942238866364,3.0,3224000.0,2020-01-30,61.92411,25.748151,2020-03-27,Full,48416.93603,8.53,
France,22,65298930,119,2022-01-13,13290020.0,214245423.0,3.2,,0.901,5.98,,Europe,0.64,126596.0,0.132,0.009525644054711731,4.0,89322000.0,2020-01-25,46.227638,2.213749,2020-03-16,Full,45342.39574,8.02,
