Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Andorra,0,77287,164,2021-03-24,11638.0,168244.0,1.1,,0.868,,,Europe,0.48,114.0,0.0064,0.009795497508162915,3.0,3042000.0,2020-03-03,42.546245,1.601554,2020-03-16,Full,,,
Anguilla,1,15026,167,2022-01-25,2270.0,,,,,,,North America,,7.0,,0.0030837004405286344,2.0,,,,,,,,,
Argentina,2,45267449,17,2022-01-13,6793119.0,31175949.0,1.5,0.6,0.845,5.0,,South America,0.05,117808.0,0.039,0.017342254713924487,3.0,6942000.0,2020-03-04,-38.416097,-63.616672,2020-03-20,Full,20610.56855,6.86,98.1
Aruba,3,106845,593,2021-11-10,16039.0,,,,,,,North America,,172.0,,0.010723860589812333,2.0,,,,,,,39454.62983,,
Australia,4,25550683,3,2022-03-18,3859284.0,65112260.0,4.5,0.5,0.944,3.84,,Oceania,0.81,5722.0,0.132,0.0014826584413067294,1.0,9246000.0,2020-01-26,-25.274398,133.775136,2020-03-25,Partial,51663.36509,8.62,
Austria,5,9015361,109,2022-01-12,1359957.0,129290067.0,11.2,0.7,0.922,7.37,,Europe,0.6,16978.0,0.012,0.01248421825101823,3.0,30816000.0,2020-02-26,47.516231,14.550072,2020-03-16,Full,55454.68929,8.48,
Bahrain,6,1711057,2239,2021-06-11,256921.0,4780224.0,3.5,,0.852,2.0,,Asia,0.46,1196.0,0.0011,0.0046551274516291,1.0,12045000.0,2020-02-25,25.930414,50.637772,2020-02-25,Full,47303.04851,6.63,95.7
Barbados,7,287437,668,2022-01-29,43481.0,585575.0,2.7,,0.814,5.8,88.469,North America,0.79,278.0,0.1112,0.006393597203376187,2.0,680000.0,2020-03-18,13.193887,-59.543198,2020-03-28,Full,18554.12928,7.02,
Belgium,8,11598451,383,2021-11-29,1749469.0,24717795.0,2.2,0.2,0.931,5.64,,Europe,0.66,26966.0,0.109,0.015413819850480346,3.0,9119000.0,2020-02-05,50.503887,4.469936,2020-03-17,Full,51407.99834,8.29,
Belize,9,398845,17,2022-06-06,60063.0,572900.0,6.9,,0.716,1.3,90.083,North America,1.27,678.0,0.1181,0.011288147445182558,2.0,489000.0,2020-03-24,17.189877,-88.49765,2020-04-16,Full,8648.0888,6.95,82.7
Bermuda,10,62237,1246,2022-01-20,9766.0,1621.0,11.5,,,,,North America,,112.0,0.0,0.011468359614990785,2.0,,,,,,,,,
Brazil,11,212821986,25,2022-06-23,31962782.0,,,3.4,0.765,2.2,,South America,1.32,669895.0,,0.020958594905787612,2.0,6621000.0,2020-02-27,-14.235004,-51.92528,2020-03-17,Partial,16096.40096,6.48,92.6
British Virgin Islands,12,30266,202,2022-01-11,4764.0,96630.0,,,,,,North America,,40.0,,0.008396305625524769,,,,,,,,,,
Brunei,13,438202,83,2022-03-01,67762.0,,,,0.838,2.7,,Asia,0.59,127.0,,0.001874206782562498,2.0,14000.0,2020-03-10,4.535277,114.727669,,,,,
