Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Andorra,0,77287,164,2020-10-23,4038.0,85772.0,6.4,,0.868,,,Europe,0.5,69.0,0.006,0.017087667161961365,3.0,3042000,2020-03-03,42.546245,1.601554,2020-03-16,Full,,,
Argentina,1,45267449,17,2021-03-24,2269877.0,7293500.0,3.0,0.6,0.845,5.0,,South America,0.81,54946.0,0.15,0.024206597978656992,3.0,6942000,2020-03-04,-38.416097,-63.616672,2020-03-20,Full,20610.56855,6.86,98.1
Armenia,2,2964219,104,2020-12-13,148325.0,548359.0,3.0,1.8,0.776,4.2,94.043,Asia,0.62,2486.0,0.021,0.016760492162481037,4.0,1652000,2020-03-02,40.069099,45.038189,2020-03-24,Full,10343.17559,7.42,99.8
Austria,3,9015361,109,2021-02-25,452767.0,14209576.0,84.8,0.7,0.922,7.37,,Europe,0.57,8493.0,0.0,0.018757992521539778,3.0,30816000,2020-02-26,47.516231,14.550072,2020-03-16,Full,55454.68929,8.48,
Bahrain,4,1711057,2239,2020-11-21,85591.0,1954535.0,6.6,,0.852,2.0,,Asia,0.57,338.0,0.014,0.003949013330840859,1.0,12045000,2020-02-25,25.930414,50.637772,2020-02-25,Full,47303.04851,6.63,95.7
Belgium,5,11598451,383,2020-12-02,582252.0,6013513.0,10.0,0.2,0.931,5.64,,Europe,0.58,16911.0,0.012,0.029044125224129757,3.0,9119000,2020-02-05,50.503887,4.469936,2020-03-17,Full,51407.99834,8.29,
Bosnia and Herzegovina,6,3277152,64,2021-03-29,165787.0,780081.0,2.8,0.2,0.78,3.5,97.164,Europe,0.63,6427.0,0.013,0.03876661016846918,4.0,1053000,2020-03-06,43.915886,17.679076,2020-03-11,Full,14623.67405,7.37,98.5
Brazil,7,212821986,25,2021-03-02,10646926.0,31716527.0,,3.4,0.765,2.2,,South America,0.95,257361.0,,0.0241723291774546,2.0,6621000,2020-02-27,-14.235004,-51.92528,2020-03-17,Partial,16096.40096,6.48,92.6
Bulgaria,8,6939018,64,2021-04-02,350340.0,2134815.0,4.4,1.5,0.816,7.454,,Europe,0.61,13438.0,0.007,0.03835702460466975,3.0,9273000,2020-03-09,42.733883,25.48583,2020-03-13,Full,21960.36994,7.79,98.4
Chile,9,19144605,26,2021-03-26,962321.0,10887507.0,7.7,1.3,0.851,2.11,,South America,0.88,22587.0,0.085,0.02347137805368479,3.0,5723000,2020-03-04,-35.675147,-71.542969,2020-03-26,Full,25222.52778,8.15,97.3
Colombia,10,50976248,46,2021-04-12,2552937.0,13328921.0,2.9,4.5,0.767,1.71,65.386,South America,0.97,66156.0,0.235,0.025913682946347678,2.0,3904000,2020-03-07,4.570868,-74.297333,2020-03-25,Full,15012.93027,6.93,94.7
Costa Rica,11,5102158,100,2021-05-03,256676.0,840269.0,3.4,1.3,0.81,1.13,83.841,North America,0.95,3290.0,0.161,0.012817715719428385,2.0,3017000,2020-03-07,9.748917,-83.753428,2020-03-15,Full,17671.09535,7.7,97.8
Croatia,12,4100719,73,2020-12-28,205246.0,996935.0,3.8,0.7,0.851,5.54,,Europe,0.54,3739.0,0.018,0.01821716379369147,3.0,16645000,2020-02-26,45.1,15.2,2020-03-22,Partial,27579.78083,7.86,99.3
Cyprus,13,1208886,131,2021-04-23,60681.0,4893115.0,60.5,,0.887,3.4,,Europe,0.53,297.0,0.001,0.004894448015029416,3.0,3939000,2020-03-10,35.126413,33.429859,2020-03-25,Full,38513.28457,7.93,99.1
Denmark,14,5795780,137,2021-06-11,289919.0,33848412.0,192.9,0.2,0.94,2.5,,Europe,0.56,2524.0,0.003,0.008705879918184044,3.0,12749000,2020-02-28,56.26392,9.501785,2020-03-11,Full,55671.16527,8.56,
Estonia,15,1326693,31,2021-03-01,66628.0,949914.0,4.8,0.5,0.892,4.69,,Europe,0.61,598.0,0.01,0.00897520561925917,3.0,3234000,2020-02-28,58.595272,25.013607,2020-03-13,Full,35973.77646,8.46,99.8
France,16,65298930,119,2021-02-02,3283645.0,,10.9,,0.901,5.98,,Europe,0.61,77383.0,0.009,0.023566189402325768,4.0,89322000,2020-01-25,46.227638,2.213749,2020-03-16,Full,45342.39574,8.02,
Georgia,17,3987805,57,2020-12-17,201368.0,3443000.0,15.0,4.2,0.812,2.6,,Asia,0.66,1953.0,0.02,0.009698661157681459,3.0,4757000,2020-02-27,42.315407,43.356892,2020-03-22,Partial,12004.57383,7.74,99.8
Hungary,18,9655983,107,2021-03-11,489172.0,3505158.0,3.7,0.5,0.854,7.02,,Europe,0.53,16497.0,0.008,0.03372433418102426,3.0,17552000,2020-03-05,47.162494,19.503304,2020-03-16,Full,31102.50275,7.65,99.1
Ireland,19,4947267,72,2021-04-27,247489.0,4432186.0,37.1,0.2,0.955,2.96,,Europe,0.88,4884.0,0.022,0.019734210409351527,3.0,10926000,2020-03-01,53.41291,-8.24389,2020-03-12,Full,83203.39468,8.52,
Israel,20,8678517,400,2021-01-02,434799.0,8563422.0,9.7,0.5,0.919,2.99,,Asia,0.45,3392.0,0.001,0.007801305890767918,3.0,4121000,2020-02-22,31.046051,34.851612,2020-03-12,Full,39919.16965,7.61,
Italy,21,60446035,206,2021-03-05,3023129.0,41716485.0,13.8,2.0,0.892,3.18,,Europe,0.62,99271.0,0.005,0.03283716970066444,3.0,61567200,2020-02-01,41.87194,12.56738,2020-03-11,Full,41830.42633,8.04,99.2
Jordan,22,10220604,115,2021-03-18,514107.0,5364765.0,5.2,0.1,0.729,1.4,,Asia,0.55,5627.0,0.013,0.01094519234322816,1.0,4150000,2020-03-04,30.585164,36.238414,2020-03-21,Full,9478.904588,6.84,97.9
Kuwait,23,4281320,240,2021-03-18,215067.0,1941949.0,6.1,,0.806,2.0,,Asia,0.82,1202.0,0.113,0.005588955999758215,1.0,8508000,2020-02-25,29.31166,47.481766,2020-03-16,Partial,72897.56235,6.19,96.2
Latvia,24,1882408,30,2021-03-16,94602.0,1640064.0,17.2,0.7,0.866,5.57,,Europe,0.69,1777.0,0.013,0.018783958055855057,3.0,1946000,2020-03-03,56.879635,24.603189,2020-03-13,Full,30304.8525,8.29,99.9
Lebanon,25,6819976,667,2021-02-16,343601.0,4069394.0,,,0.744,2.9,,Asia,0.67,4092.0,,0.01190916208043632,1.0,1964000,2020-02-22,33.854721,35.862285,2020-03-16,Full,13081.10746,6.74,93.9
